sigmoid_colon	stomach
ENSG00000000003.14	19.61	21.80
ENSG00000000005.5	0.27	0.32
ENSG00000000419.12	46.63	35.07
ENSG00000000457.13	34.07	33.63
ENSG00000000460.16	33.94	34.28
ENSG00000000938.12	4.62	8.27
ENSG00000000971.15	4.34	3.21
ENSG00000001036.13	27.70	37.70
ENSG00000001084.10	46.00	47.93
ENSG00000001167.14	8.87	9.93
ENSG00000001460.17	33.59	38.08
ENSG00000001461.16	20.29	31.50
ENSG00000001497.16	35.42	34.98
ENSG00000001561.6	36.03	28.94
ENSG00000001617.11	34.90	26.74
ENSG00000001626.14	5.49	7.04
ENSG00000001629.9	37.98	50.95
ENSG00000001630.15	29.26	41.60
ENSG00000001631.14	30.52	43.50
ENSG00000002016.16	29.89	31.05
ENSG00000002330.13	29.45	29.88
ENSG00000002549.12	40.14	35.18
ENSG00000002586.18	55.66	56.64
ENSG00000002587.9	16.84	23.05
ENSG00000002726.19	2.89	1.09
ENSG00000002745.12	2.19	2.79
ENSG00000002746.14	4.64	6.18
ENSG00000002822.15	34.02	38.67
ENSG00000002834.17	44.96	57.69
ENSG00000002919.14	54.06	50.02
ENSG00000002933.7	16.21	20.70
ENSG00000003056.7	53.13	45.58
ENSG00000003096.13	34.34	23.90
ENSG00000003137.8	4.19	5.51
ENSG00000003147.17	23.75	41.26
ENSG00000003249.13	25.97	36.74
ENSG00000003393.14	38.97	40.66
ENSG00000003400.14	8.26	24.96
ENSG00000003402.19	56.70	46.85
ENSG00000003436.14	7.59	6.51
ENSG00000003509.15	44.69	44.75
ENSG00000003756.16	35.91	29.08
ENSG00000003987.13	4.21	13.87
ENSG00000003989.16	33.53	37.92
ENSG00000004059.10	35.18	48.69
ENSG00000004139.13	26.85	23.07
ENSG00000004142.11	57.76	57.75
ENSG00000004399.12	21.15	27.71
ENSG00000004455.16	28.60	38.40
ENSG00000004468.12	8.57	11.28
ENSG00000004478.7	39.92	40.85
ENSG00000004487.15	45.33	54.71
ENSG00000004534.14	49.16	31.09
ENSG00000004660.14	14.98	12.29
ENSG00000004700.15	30.51	33.56
ENSG00000004766.15	27.00	31.15
ENSG00000004776.11	34.88	25.36
